127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000592
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000374
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000705
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000787
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000441
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000367
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000607
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000363
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000713
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000381
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000284
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000297
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001428
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000497
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000757
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001319
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.003114
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.002112
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/js/ajax_editor.js, HTTP/1.1, 200, 0.001261
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001069
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.002972
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/js/typeahead.min.js, HTTP/1.1, 200, 0.000789
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/codemirror/emmet.min.js, HTTP/1.1, 200, 0.005271
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/css/web2py-codemirror.css, HTTP/1.1, 200, 0.001643
127.0.0.1, 2016-03-17 00:09:25, GET, /admin/static/_2.13.4/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000399
127.0.0.1, 2016-03-17 00:09:26, GET, /admin/static/_2.13.4/images/files_toggle.png, HTTP/1.1, 200, 0.000424
127.0.0.1, 2016-03-17 00:09:26, GET, /admin/default/edit/datos/models/db0.py, HTTP/1.1, 200, 0.086777
127.0.0.1, 2016-03-17 00:09:26, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.054575
127.0.0.1, 2016-03-17 00:09:26, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.115424
127.0.0.1, 2016-03-17 00:09:26, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.160411
127.0.0.1, 2016-03-17 00:09:26, GET, /admin/static/_2.13.4/images/save_icon.png, HTTP/1.1, 200, 0.000745
127.0.0.1, 2016-03-17 00:09:26, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.044812
127.0.0.1, 2016-03-17 00:09:31, GET, /datos/appadmin/hooks, HTTP/1.1, 500, 5.153757
127.0.0.1, 2016-03-17 00:10:20, GET, /admin/default/edit/datos/models/db0.py, HTTP/1.1, 303, 0.007052
127.0.0.1, 2016-03-17 00:10:20, GET, /admin/default/index, HTTP/1.1, 200, 0.042744
127.0.0.1, 2016-03-17 00:10:26, POST, /admin/default/index, HTTP/1.1, 303, 0.035101
127.0.0.1, 2016-03-17 00:10:26, GET, /admin/default/edit/datos/models/db0.py, HTTP/1.1, 200, 0.043174
127.0.0.1, 2016-03-17 00:10:26, GET, /admin/default/edit/datos/models/db0.py, HTTP/1.1, 200, 0.043254
127.0.0.1, 2016-03-17 00:10:26, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.048279
127.0.0.1, 2016-03-17 00:10:26, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.087283
127.0.0.1, 2016-03-17 00:10:26, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.125409
