127.0.0.1, 2016-08-31 23:03:17, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.074915
127.0.0.1, 2016-08-31 23:03:19, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.313228
127.0.0.1, 2016-08-31 23:03:19, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.091666
127.0.0.1, 2016-08-31 23:03:20, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.879075
127.0.0.1, 2016-08-31 23:03:27, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.061392
127.0.0.1, 2016-08-31 23:03:46, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.095739
127.0.0.1, 2016-08-31 23:03:49, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.060940
127.0.0.1, 2016-08-31 23:04:15, GET, /datos/academia/show_teacher/6, HTTP/1.1, 200, 0.184737
127.0.0.1, 2016-08-31 23:04:18, POST, /datos/academia/show_teacher/6, HTTP/1.1, 303, 0.171962
127.0.0.1, 2016-08-31 23:04:18, GET, /datos/academia/update_group_teacher/6, HTTP/1.1, 303, 0.132931
127.0.0.1, 2016-08-31 23:04:18, GET, /datos/acedemia/agree_teacher, HTTP/1.1, 404, 0.121508
127.0.0.1, 2016-08-31 23:04:19, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.298677
127.0.0.1, 2016-08-31 23:04:20, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.769667
127.0.0.1, 2016-08-31 23:04:29, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.065110
127.0.0.1, 2016-08-31 23:04:31, GET, /datos/academia/show_teacher/6, HTTP/1.1, 200, 0.209855
127.0.0.1, 2016-08-31 23:04:33, POST, /datos/academia/show_teacher/6, HTTP/1.1, 303, 0.196103
127.0.0.1, 2016-08-31 23:04:33, GET, /datos/academia/update_group_teacher/6, HTTP/1.1, 303, 0.123645
127.0.0.1, 2016-08-31 23:04:33, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.181552
127.0.0.1, 2016-08-31 23:04:39, GET, /datos/appadmin/update/db1/auth_user/6, HTTP/1.1, 200, 0.266987
127.0.0.1, 2016-08-31 23:04:47, POST, /datos/appadmin/update/db1/auth_user/6, HTTP/1.1, 303, 0.200190
127.0.0.1, 2016-08-31 23:04:47, GET, /datos/appadmin/select/db1, HTTP/1.1, 200, 0.250125
127.0.0.1, 2016-08-31 23:04:50, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.183559
127.0.0.1, 2016-08-31 23:04:53, GET, /datos/academia/show_teacher/6, HTTP/1.1, 200, 0.171941
127.0.0.1, 2016-08-31 23:04:55, POST, /datos/academia/show_teacher/6, HTTP/1.1, 303, 0.172902
127.0.0.1, 2016-08-31 23:04:55, GET, /datos/academia/update_group_teacher/6, HTTP/1.1, 303, 0.133662
127.0.0.1, 2016-08-31 23:04:55, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.172701
127.0.0.1, 2016-08-31 23:05:06, GET, /datos/appadmin/update/db1/auth_user/6, HTTP/1.1, 200, 0.262186
127.0.0.1, 2016-08-31 23:05:13, POST, /datos/appadmin/update/db1/auth_user/6, HTTP/1.1, 303, 0.193308
127.0.0.1, 2016-08-31 23:05:13, GET, /datos/appadmin/select/db1, HTTP/1.1, 200, 0.257756
127.0.0.1, 2016-08-31 23:05:15, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.174676
127.0.0.1, 2016-08-31 23:05:17, GET, /datos/academia/show_teacher/6, HTTP/1.1, 200, 0.179204
127.0.0.1, 2016-08-31 23:05:18, POST, /datos/academia/show_teacher/6, HTTP/1.1, 303, 0.156867
127.0.0.1, 2016-08-31 23:05:18, GET, /datos/academia/update_group_teacher/6, HTTP/1.1, 303, 0.120918
127.0.0.1, 2016-08-31 23:05:18, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.196481
127.0.0.1, 2016-08-31 23:05:19, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.331625
127.0.0.1, 2016-08-31 23:05:20, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.786019
127.0.0.1, 2016-08-31 23:05:38, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.061201
127.0.0.1, 2016-08-31 23:05:46, GET, /datos/appadmin/update/db1/auth_user/6, HTTP/1.1, 200, 0.262609
127.0.0.1, 2016-08-31 23:05:54, POST, /datos/appadmin/update/db1/auth_user/6, HTTP/1.1, 303, 0.186821
127.0.0.1, 2016-08-31 23:05:54, GET, /datos/appadmin/select/db1, HTTP/1.1, 200, 0.285168
127.0.0.1, 2016-08-31 23:05:56, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.168350
127.0.0.1, 2016-08-31 23:05:58, GET, /datos/academia/show_teacher/6, HTTP/1.1, 200, 0.189719
127.0.0.1, 2016-08-31 23:05:59, POST, /datos/academia/show_teacher/6, HTTP/1.1, 303, 0.162536
127.0.0.1, 2016-08-31 23:05:59, GET, /datos/academia/update_group_teacher/6, HTTP/1.1, 303, 0.124622
127.0.0.1, 2016-08-31 23:06:00, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.171649
127.0.0.1, 2016-08-31 23:06:07, GET, /datos/default/index, HTTP/1.1, 200, 0.160871
127.0.0.1, 2016-08-31 23:06:07, GET, /datos/static/images/logo.png, HTTP/1.1, 304, 0.000961
127.0.0.1, 2016-08-31 23:06:09, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.173857
127.0.0.1, 2016-08-31 23:06:12, GET, /admin/default/edit/datos/controllers/default.py, HTTP/1.1, 200, 0.082610
127.0.0.1, 2016-08-31 23:06:13, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.021299
127.0.0.1, 2016-08-31 23:06:19, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.302569
127.0.0.1, 2016-08-31 23:06:19, GET, /datos/appadmin/update/db1/scheduler_run/1, HTTP/1.1, 200, 0.538609
127.0.0.1, 2016-08-31 23:06:20, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 1.117434
127.0.0.1, 2016-08-31 23:06:42, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.117656
127.0.0.1, 2016-08-31 23:06:45, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.067939
127.0.0.1, 2016-08-31 23:06:47, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.165822
127.0.0.1, 2016-08-31 23:06:50, GET, /datos/appadmin/update/db1/auth_user/6, HTTP/1.1, 200, 0.256731
127.0.0.1, 2016-08-31 23:06:56, POST, /datos/appadmin/update/db1/auth_user/6, HTTP/1.1, 303, 0.189168
127.0.0.1, 2016-08-31 23:06:56, GET, /datos/appadmin/select/db1, HTTP/1.1, 200, 0.259320
127.0.0.1, 2016-08-31 23:06:59, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.170646
127.0.0.1, 2016-08-31 23:07:00, GET, /datos/academia/show_teacher/6, HTTP/1.1, 200, 0.203655
127.0.0.1, 2016-08-31 23:07:01, POST, /datos/academia/show_teacher/6, HTTP/1.1, 303, 0.164128
